title,avg_rating,rating_count,bias_score,is_underserved
Bad Boys (1995),3.28,16784,-0.38,0
"Amazing Panda Adventure, The (1995)",2.89,638,-0.57,0
"Basketball Diaries, The (1995)",3.61,5400,-0.17,0
"Awfully Big Adventure, An (1995)",2.9,380,-0.54,0
Amateur (1994),3.68,1175,-0.11,0
Rob Roy (1995),3.52,13820,-0.22,0
"Addiction, The (1995)",3.11,752,-0.42,0
Batman Forever (1995),2.89,40052,-0.64,0
Beauty of the Day (Belle de jour) (1967),3.8,3541,-0.09,0
Beyond Rangoon (1995),3.4,1333,-0.28,0
Blue in the Face (1995),3.53,1777,-0.18,0
Canadian Bacon (1995),2.8,2844,-0.65,0
Casper (1995),2.89,16591,-0.63,0
Clockers (1995),3.41,2551,-0.29,0
Congo (1995),2.61,16315,-0.74,0
Crimson Tide (1995),3.75,27344,-0.14,0
Crumb (1994),3.98,6758,-0.07,0
Desperado (1995),3.43,18090,-0.31,0
Devil in a Blue Dress (1995),3.46,4714,-0.28,0
Die Hard: With a Vengeance (1995),3.52,43336,-0.22,0
"Doom Generation, The (1995)",2.9,824,-0.57,0
Feast of July (1995),3.18,86,-0.28,0
First Knight (1995),3.06,14059,-0.5,0
Free Willy 2: The Adventure Home (1995),2.29,4134,-0.82,0
Hackers (1995),3.23,10045,-0.42,0
Jeffrey (1995),3.59,1482,-0.15,0
Johnny Mnemonic (1995),2.76,14988,-0.68,0
Judge Dredd (1995),2.55,17970,-0.75,0
Jury Duty (1995),2.45,2265,-0.78,0
Kids (1995),3.53,6128,-0.2,0
Living in Oblivion (1995),3.84,2579,-0.07,0
Lord of Illusions (1995),2.89,2477,-0.6,0
Love & Human Remains (1993),3.38,528,-0.26,0
Mad Love (1995),2.75,1289,-0.66,0
Mallrats (1995),3.56,10386,-0.2,0
Mighty Morphin Power Rangers: The Movie (1995),2.0,3144,-0.89,0
Moonlight and Valentino (1995),3.08,724,-0.44,0
Mute Witness (1994),3.35,653,-0.28,0
Nadja (1994),3.11,359,-0.4,0
"Net, The (1995)",3.12,27379,-0.48,0
Nine Months (1995),2.87,13237,-0.64,0
Party Girl (1995),3.45,1012,-0.25,0
"Prophecy, The (1995)",3.33,2782,-0.34,0
Reckless (1995),3.01,345,-0.43,0
Safe (1995),3.62,1199,-0.13,0
"Scarlet Letter, The (1995)",2.69,1900,-0.68,0
The Show (1995),3.04,87,-0.35,0
Showgirls (1995),2.26,9274,-0.84,0
Smoke (1995),3.84,6509,-0.09,0
Something to Talk About (1995),3.09,3418,-0.47,0
Species (1995),2.83,15822,-0.66,0
"Stars Fell on Henrietta, The (1995)",3.07,114,-0.36,0
Strange Days (1995),3.42,10271,-0.31,0
"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",3.78,1913,-0.08,0
"Tie That Binds, The (1995)",2.84,360,-0.56,0
Three Wishes (1995),3.03,388,-0.43,0
Total Eclipse (1995),3.09,510,-0.42,0
"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",3.17,6147,-0.45,0
Under Siege 2: Dark Territory (1995),2.93,9531,-0.61,0
Unstrung Heroes (1995),3.5,1387,-0.18,0
Unzipped (1995),3.48,1060,-0.24,0
"Walk in the Clouds, A (1995)",3.37,6130,-0.33,0
Waterworld (1995),2.88,33098,-0.64,0
White Man's Burden (1995),2.82,789,-0.6,0
Wild Bill (1995),2.88,515,-0.56,0
"Browning Version, The (1994)",3.58,615,-0.12,0
Bushwhacked (1995),2.57,506,-0.67,0
Burnt by the Sun (Utomlyonnye solntsem) (1994),4.02,2073,-0.01,0
Before the Rain (Pred dozhdot) (1994),4.03,1049,0.01,1
Before Sunrise (1995),3.94,8835,-0.07,0
Billy Madison (1995),3.25,11755,-0.39,0
"Babysitter, The (1995)",2.74,1089,-0.65,0
Boys on the Side (1995),3.28,4462,-0.37,0
"Cure, The (1995)",3.6,714,-0.13,0
Castle Freak (1995),2.47,356,-0.72,0
Circle of Friends (1995),3.53,6334,-0.2,0
Clerks (1994),3.84,28818,-0.1,0
Don Juan DeMarco (1995),3.43,9255,-0.3,0
Disclosure (1994),3.28,13623,-0.38,0
Dream Man (1995),2.69,48,-0.51,0
Drop Zone (1994),3.07,4905,-0.49,0
Destiny Turns on the Radio (1995),2.67,492,-0.64,0
Death and the Maiden (1994),3.56,2617,-0.18,0
Dolores Claiborne (1995),3.58,8058,-0.19,0
Dumb & Dumber (Dumb and Dumber) (1994),2.98,40371,-0.61,0
Eat Drink Man Woman (Yin shi nan nu) (1994),4.02,6669,-0.03,0
Exotica (1994),3.52,3745,-0.2,0
Exit to Eden (1994),2.67,3401,-0.7,0
Ed Wood (1994),3.66,18291,-0.17,0
French Kiss (1995),3.31,13873,-0.37,0
Forget Paris (1995),3.22,6825,-0.42,0
Far From Home: The Adventures of Yellow Dog (1995),3.16,887,-0.4,0
"Goofy Movie, A (1995)",3.13,4489,-0.46,0
Hideaway (1995),2.9,880,-0.57,0
Fluke (1995),3.03,615,-0.45,0
Farinelli: il castrato (1994),3.39,1148,-0.28,0
Gordy (1995),2.5,499,-0.71,0
Gumby: The Movie (1995),2.39,319,-0.73,0
The Glass Shield (1994),2.95,277,-0.51,0
Hoop Dreams (1994),4.0,11731,-0.04,0
Heavenly Creatures (1994),3.81,8547,-0.1,0
Houseguest (1994),3.01,3300,-0.5,0
Immortal Beloved (1994),3.67,5313,-0.14,0
Heavyweights (Heavy Weights) (1995),3.08,1162,-0.45,0
"Hunted, The (1995)",3.03,418,-0.43,0
I.Q. (1994),3.21,11147,-0.43,0
Interview with the Vampire: The Vampire Chronicles (1994),3.51,33364,-0.22,0
Jefferson in Paris (1995),2.89,659,-0.57,0
"Jerky Boys, The (1995)",2.27,1135,-0.79,0
Junior (1994),2.67,12071,-0.71,0
Just Cause (1995),3.41,4115,-0.3,0
"Kid in King Arthur's Court, A (1995)",2.62,1886,-0.7,0
Kiss of Death (1995),3.06,2127,-0.48,0
Star Wars: Episode IV - A New Hope (1977),4.09,97202,-0.04,0
Little Women (1994),3.6,12346,-0.19,0
"Little Princess, A (1995)",3.76,5168,-0.1,0
Ladybird Ladybird (1994),3.73,419,-0.06,0
"Enfer, L' (1994)",3.33,200,-0.25,0
Like Water for Chocolate (Como agua para chocolate) (1992),3.91,12758,-0.08,0
Legends of the Fall (1994),3.5,18919,-0.22,0
Major Payne (1995),2.91,4877,-0.61,0
Little Odessa (1994),3.31,773,-0.31,0
My Crazy Life (Mi vida loca) (1993),3.48,624,-0.22,0
Love Affair (1994),3.19,1370,-0.4,0
Losing Isaiah (1995),3.33,1323,-0.32,0
"Madness of King George, The (1994)",3.73,8492,-0.13,0
Mary Shelley's Frankenstein (Frankenstein) (1994),3.12,8548,-0.47,0
Man of the House (1995),2.83,1345,-0.62,0
Mixed Nuts (1994),2.72,1670,-0.67,0
Milk Money (1994),2.98,5790,-0.59,0
Miracle on 34th Street (1994),3.39,11510,-0.33,0
Miami Rhapsody (1995),3.02,1182,-0.47,0
My Family (1995),3.69,964,-0.1,0
Murder in the First (1995),3.71,5424,-0.13,0
Nobody's Fool (1994),3.66,4168,-0.15,0
Nell (1994),3.39,12588,-0.33,0
New Jersey Drive (1995),3.1,256,-0.39,0
New York Cop (Nyû Yôku no koppu) (1993),2.8,40,-0.45,0
Beyond Bedlam (1993),2.37,88,-0.67,0
Nemesis 2: Nebula (1995),2.0,116,-0.75,0
Nina Takes a Lover (1994),3.24,336,-0.33,0
Natural Born Killers (1994),3.26,27802,-0.4,0
Only You (1994),3.36,3467,-0.32,0
Once Were Warriors (1994),3.98,4405,-0.06,0
Outbreak (1995),3.42,30012,-0.32,0
Léon: The Professional (a.k.a. The Professional) (Léon) (1994),4.1,43539,-0.04,0
"Perez Family, The (1995)",3.17,869,-0.39,0
"Pyromaniac's Love Story, A (1995)",2.81,483,-0.59,0
Pulp Fiction (1994),4.19,108756,-0.03,0
Panther (1995),3.09,279,-0.39,0
Pushing Hands (Tui shou) (1992),3.5,268,-0.12,0
Priest (1994),3.72,2755,-0.12,0
Quiz Show (1994),3.66,22205,-0.17,0
Picture Bride (Bijo photo) (1994),3.51,487,-0.14,0
"Queen Margot (Reine Margot, La) (1994)",3.74,1701,-0.1,0
"Quick and the Dead, The (1995)",3.05,8159,-0.5,0
Roommates (1995),3.18,756,-0.38,0
Ready to Wear (Pret-A-Porter) (1994),2.7,3578,-0.69,0
Three Colors: Red (Trois couleurs: Rouge) (1994),4.06,8956,-0.03,0
Three Colors: Blue (Trois couleurs: Bleu) (1993),3.97,8532,-0.07,0
Three Colors: White (Trzy kolory: Bialy) (1994),3.89,6412,-0.08,0
"Red Firecracker, Green Firecracker (Pao Da Shuang Deng) (1994)",3.64,468,-0.09,0
Rent-a-Kid (1995),2.78,276,-0.57,0
Relative Fear (1994),2.73,88,-0.54,0
Stuart Saves His Family (1995),2.61,1373,-0.7,0
"Swan Princess, The (1994)",3.09,1616,-0.45,0
"Secret of Roan Inish, The (1994)",3.85,4363,-0.08,0
"Specialist, The (1994)",2.9,12674,-0.63,0
Stargate (1994),3.38,38768,-0.34,0
"Santa Clause, The (1994)",3.12,18781,-0.48,0
"Shawshank Redemption, The (1994)",4.42,122296,-0.03,0
Shallow Grave (1994),3.75,8409,-0.13,0
Suture (1993),3.26,340,-0.3,0
Strawberry and Chocolate (Fresa y chocolate) (1993),3.76,980,-0.07,0
Swimming with Sharks (1995),3.67,3215,-0.13,0
"Sum of Us, The (1994)",3.69,500,-0.08,0
National Lampoon's Senior Trip (1995),2.65,1113,-0.68,0
To Live (Huozhe) (1994),4.09,1572,0.01,1
Tank Girl (1995),2.81,8684,-0.66,0
Tales from the Crypt Presents: Demon Knight (1995),3.16,2702,-0.43,0
Star Trek: Generations (1994),3.34,30854,-0.35,0
Tales from the Hood (1995),2.82,1658,-0.63,0
Tom & Viv (1994),3.29,584,-0.31,0
Village of the Damned (1995),2.78,2385,-0.65,0
Tommy Boy (1995),3.37,13903,-0.34,0
Vanya on 42nd Street (1994),3.82,1699,-0.07,0
Underneath (1995),3.25,422,-0.32,0
"Walking Dead, The (1995)",2.87,313,-0.55,0
What's Eating Gilbert Grape (1993),3.75,20494,-0.14,0
Virtuosity (1995),2.99,5046,-0.59,0
While You Were Sleeping (1995),3.51,26845,-0.22,0
"War, The (1994)",3.37,1551,-0.3,0
Double Happiness (1994),3.59,414,-0.11,0
Muriel's Wedding (1994),3.48,13665,-0.29,0
"Baby-Sitters Club, The (1995)",2.67,1026,-0.67,0
Ace Ventura: Pet Detective (1994),3.0,47829,-0.53,0
"Adventures of Priscilla, Queen of the Desert, The (1994)",3.62,12037,-0.18,0
Backbeat (1993),3.42,1190,-0.27,0
Bitter Moon (1992),3.45,1880,-0.27,0
Bullets Over Broadway (1994),3.68,8715,-0.15,0
Clear and Present Danger (1994),3.67,35608,-0.17,0
"Client, The (1994)",3.47,17375,-0.3,0
"Corrina, Corrina (1994)",3.3,3937,-0.36,0
Crooklyn (1994),3.27,1439,-0.35,0
"Crow, The (1994)",3.52,19102,-0.22,0
Cobb (1994),3.15,1302,-0.42,0
"Flintstones, The (1994)",2.41,12184,-0.82,0
Forrest Gump (1994),4.07,113581,-0.04,0
Four Weddings and a Funeral (1994),3.64,31577,-0.18,0
Higher Learning (1995),3.25,2418,-0.39,0
I Like It Like That (1994),3.28,289,-0.29,0
I Love Trouble (1994),2.73,2218,-0.67,0
It Could Happen to You (1994),3.32,5770,-0.35,0
"Jungle Book, The (1994)",3.36,9182,-0.34,0
"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",3.99,670,-0.01,0
Little Buddha (1993),3.17,2021,-0.43,0
"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",3.0,3186,-0.58,0
"Mask, The (1994)",3.19,41407,-0.45,0
Maverick (1994),3.41,19725,-0.32,0
Mrs. Parker and the Vicious Circle (1994),3.31,1162,-0.32,0
Naked Gun 33 1/3: The Final Insult (1994),2.98,17722,-0.6,0
"Paper, The (1994)",3.26,4468,-0.38,0
Reality Bites (1994),3.26,9430,-0.39,0
Red Rock West (1992),3.77,3774,-0.1,0
Richie Rich (1994),2.45,6395,-0.8,0
Safe Passage (1994),3.28,262,-0.28,0
"River Wild, The (1994)",3.29,13399,-0.38,0
Speed (1994),3.49,49029,-0.29,0
Speechless (1994),3.13,2423,-0.45,0
Timecop (1994),2.72,6851,-0.7,0
True Lies (1994),3.51,52789,-0.23,0
When a Man Loves a Woman (1994),3.4,5692,-0.31,0
Wolf (1994),3.04,6192,-0.5,0
Wyatt Earp (1994),3.2,5620,-0.42,0
Bad Company (1995),2.98,812,-0.54,0
"Man of No Importance, A (1994)",3.57,137,-0.07,0
S.F.W. (1994),2.82,398,-0.58,0
"Low Down Dirty Shame, A (1994)",2.66,752,-0.67,0
Boys Life (1995),3.56,572,-0.13,0
"Colonel Chabert, Le (1994)",3.5,212,-0.14,0
Faster Pussycat! Kill! Kill! (1965),3.42,998,-0.26,0
Jason's Lyric (1994),3.16,447,-0.38,0
"Secret Adventures of Tom Thumb, The (1993)",3.31,299,-0.27,0
Street Fighter (1994),1.94,2780,-0.89,0
Coldblooded (1995),3.31,158,-0.24,0
Fall Time (1995),2.51,40,-0.54,0
"Fear, The (1995)",2.2,107,-0.71,0
Frank and Ollie (1995),3.39,63,-0.14,0
Homage (1995),2.56,34,-0.51,0
Open Season (1996),2.89,66,-0.45,0
Brother Minister: The Assassination of Malcolm X (1994),3.32,91,-0.21,0
Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),2.45,3956,-0.79,0
Federal Hill (1994),3.07,70,-0.32,0
In the Mouth of Madness (1995),3.27,2579,-0.36,0
8 Seconds (1994),3.24,725,-0.36,0
Above the Rim (1994),3.05,520,-0.43,0
Addams Family Values (1993),3.02,21424,-0.52,0
Martin Lawrence: You So Crazy (1994),2.81,127,-0.52,0
"Age of Innocence, The (1993)",3.55,5051,-0.19,0
Airheads (1994),2.82,7279,-0.65,0
"Air Up There, The (1994)",2.62,968,-0.68,0
Another Stakeout (1993),2.81,3356,-0.64,0
Bad Girls (1994),2.7,1876,-0.68,0
Barcelona (1994),3.52,3455,-0.2,0
Being Human (1993),2.7,720,-0.65,0
"Beverly Hillbillies, The (1993)",2.49,5265,-0.8,0
Beverly Hills Cop III (1994),2.76,16768,-0.68,0
Black Beauty (1994),3.28,1956,-0.35,0
Blink (1994),3.23,1499,-0.38,0
Blown Away (1994),3.01,2546,-0.49,0
Blue Chips (1994),2.72,842,-0.65,0
Blue Sky (1994),3.47,917,-0.24,0
Body Snatchers (1993),3.11,3524,-0.46,0
Boxing Helena (1993),2.54,3572,-0.73,0
"Bronx Tale, A (1993)",3.82,6034,-0.09,0
Cabin Boy (1994),2.38,1621,-0.79,0
Calendar Girl (1993),2.31,285,-0.74,0
Carlito's Way (1993),3.71,11440,-0.14,0
City Slickers II: The Legend of Curly's Gold (1994),2.72,14149,-0.7,0
Clean Slate (1994),2.91,1297,-0.58,0
Cliffhanger (1993),3.07,28197,-0.51,0
Coneheads (1993),2.57,15937,-0.75,0
Color of Night (1994),2.64,1386,-0.69,0
Cops and Robbersons (1994),2.59,1930,-0.71,0
"Cowboy Way, The (1994)",2.7,1132,-0.66,0
Dangerous Game (1993),2.72,69,-0.53,0
Dave (1993),3.6,20661,-0.19,0
Dazed and Confused (1993),3.7,10767,-0.14,0
Demolition Man (1993),3.08,22009,-0.5,0
"Endless Summer 2, The (1994)",3.35,632,-0.28,0
Even Cowgirls Get the Blues (1993),2.42,1381,-0.77,0
Fatal Instinct (1993),2.88,2027,-0.6,0
Farewell My Concubine (Ba wang bie ji) (1993),3.9,4100,-0.07,0
"Favor, The (1994)",2.53,234,-0.65,0
Fearless (1993),3.55,3218,-0.19,0
Fear of a Black Hat (1994),3.45,735,-0.24,0
With Honors (1994),3.35,3160,-0.33,0
Flesh and Bone (1993),3.05,666,-0.44,0
Widows' Peak (1994),3.56,1234,-0.16,0
For Love or Money (1993),3.1,1037,-0.44,0
"Firm, The (1993)",3.51,28616,-0.23,0
Free Willy (1993),2.61,10469,-0.73,0
Fresh (1994),3.81,1059,-0.05,0
"Fugitive, The (1993)",3.98,61732,-0.08,0
Geronimo: An American Legend (1993),3.15,1117,-0.42,0
"Getaway, The (1994)",2.78,1237,-0.63,0
Getting Even with Dad (1994),2.43,980,-0.76,0
Go Fish (1994),3.35,940,-0.29,0
"Good Man in Africa, A (1994)",2.63,213,-0.62,0
Guilty as Sin (1993),2.82,446,-0.58,0
Hard Target (1993),2.93,3557,-0.6,0
Heaven & Earth (1993),3.26,790,-0.33,0
Hot Shots! Part Deux (1993),2.93,15988,-0.62,0
Live Nude Girls (1995),3.42,817,-0.26,0
"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",3.31,8223,-0.36,0
"House of the Spirits, The (1993)",3.28,1414,-0.34,0
House Party 3 (1994),2.14,522,-0.79,0
"Hudsucker Proxy, The (1994)",3.65,12745,-0.17,0
I'll Do Anything (1994),2.87,750,-0.58,0
In the Army Now (1994),2.33,1518,-0.8,0
In the Line of Fire (1993),3.72,21161,-0.14,0
In the Name of the Father (1993),3.9,10719,-0.08,0
"Inkwell, The (1994)",3.01,245,-0.41,0
What's Love Got to Do with It? (1993),3.55,4809,-0.19,0
Jimmy Hollywood (1994),2.42,298,-0.72,0
Judgment Night (1993),2.93,1316,-0.57,0
Jurassic Park (1993),3.69,83026,-0.16,0
Kalifornia (1993),3.34,6181,-0.34,0
Killing Zoe (1994),3.42,2896,-0.29,0
King of the Hill (1993),3.76,647,-0.05,0
Lassie (1994),2.78,836,-0.62,0
Last Action Hero (1993),2.81,16265,-0.67,0
Life with Mikey (1993),2.7,670,-0.64,0
Lightning Jack (1994),2.6,667,-0.68,0
M. Butterfly (1993),3.39,618,-0.26,0
Made in America (1993),2.75,3231,-0.66,0
Malice (1993),3.35,3410,-0.33,0
"Man Without a Face, The (1993)",3.4,5973,-0.31,0
Manhattan Murder Mystery (1993),3.66,3629,-0.15,0
Menace II Society (1993),3.62,4261,-0.16,0
Executive Decision (1996),3.37,14831,-0.34,0
In the Realm of the Senses (Ai no corrida) (1976),3.44,858,-0.25,0
What Happened Was... (1994),3.31,433,-0.29,0
Much Ado About Nothing (1993),3.87,15597,-0.09,0
Mr. Jones (1993),2.81,423,-0.58,0
Mr. Wonderful (1993),2.76,427,-0.6,0
Mrs. Doubtfire (1993),3.4,40844,-0.33,0
Naked (1993),3.84,2448,-0.07,0
"Next Karate Kid, The (1994)",2.32,4438,-0.82,0
"New Age, The (1994)",3.08,148,-0.37,0
No Escape (1994),2.98,1252,-0.56,0
North (1994),2.51,1416,-0.71,0
Orlando (1992),3.51,1561,-0.18,0
"Perfect World, A (1993)",3.53,3706,-0.2,0
Philadelphia (1993),3.8,24056,-0.11,0
"Piano, The (1993)",3.68,19158,-0.15,0
Poetic Justice (1993),2.77,983,-0.62,0
"Program, The (1993)",3.14,1755,-0.43,0
"Puppet Masters, The (1994)",2.92,1344,-0.58,0
Radioland Murders (1994),2.96,622,-0.54,0
"Ref, The (1994)",3.45,4983,-0.29,0
"Remains of the Day, The (1993)",3.89,11950,-0.08,0
Renaissance Man (1994),3.09,3644,-0.47,0
Rising Sun (1993),3.13,3861,-0.45,0
"Road to Wellville, The (1994)",2.7,1316,-0.67,0
RoboCop 3 (1993),2.25,6106,-0.84,0
Robin Hood: Men in Tights (1993),3.08,18058,-0.5,0
Romeo Is Bleeding (1993),3.32,2292,-0.34,0
Romper Stomper (1992),3.54,1467,-0.17,0
Ruby in Paradise (1993),3.65,965,-0.12,0
Rudy (1993),3.51,9567,-0.21,0
"Saint of Fort Washington, The (1993)",3.38,187,-0.21,0
"Savage Nights (Nuits fauves, Les) (1992)",3.17,145,-0.33,0
Schindler's List (1993),4.24,84232,-0.03,0
"Scout, The (1994)",2.77,972,-0.62,0
Searching for Bobby Fischer (1993),3.83,11934,-0.1,0
Second Best (1994),3.09,41,-0.28,0
"Secret Garden, The (1993)",3.51,9409,-0.22,0
Serial Mom (1994),3.07,6596,-0.49,0
"Shadow, The (1994)",2.93,4250,-0.6,0
Shadowlands (1993),3.89,5138,-0.07,0
Short Cuts (1993),3.77,6094,-0.1,0
"Simple Twist of Fate, A (1994)",3.28,805,-0.33,0
